,Rank,Movie Names,Links,Rating,Year,Duration_of_movie,Genere,Description
10,11,Jai Bhim,https://www.imdb.com//title/tt15097216/?ref_=fea_eds_center-3_IndiaTop250_10,8.8,2021,TV-MA,"Crime,Drama,Mystery,Back to top","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
11,12,#Home,https://www.imdb.com//title/tt10534500/?ref_=fea_eds_center-3_IndiaTop250_11,8.8,2021,Rojin Thomas,"Drama,Back to top","Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones."
12,13,Soorarai Pottru,https://www.imdb.com//title/tt10189514/?ref_=fea_eds_center-3_IndiaTop250_12,8.7,2020,TV-MA,"Action,Drama,Back to top","Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
13,14,Black Friday,https://www.imdb.com//title/tt0400234/?ref_=fea_eds_center-3_IndiaTop250_13,8.4,2004,Not Rated,"Action,Crime,Drama,Back to top","A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen."
14,15,Kumbalangi Nights,https://www.imdb.com//title/tt8413338/?ref_=fea_eds_center-3_IndiaTop250_14,8.5,2019,Not Rated,"Comedy,Drama,Romance,Back to top","The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby st... Read all"
15,16,C/o Kancharapalem,https://www.imdb.com//title/tt7391996/?ref_=fea_eds_center-3_IndiaTop250_15,8.8,2018,2h 32m,"Drama,Back to top",Four unconventional love stories set in the town and including the people of Kancherapalem.
16,17,Kireedam,https://www.imdb.com//title/tt0237376/?ref_=fea_eds_center-3_IndiaTop250_16,8.9,1989,Not Rated,"Action,Drama,Back to top",The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.
17,18,Like Stars on Earth,https://www.imdb.com//title/tt0986264/?ref_=fea_eds_center-3_IndiaTop250_17,8.3,2007,PG,"Drama,Family,Back to top","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
18,19,Dangal,https://www.imdb.com//title/tt5074352/?ref_=fea_eds_center-3_IndiaTop250_18,8.3,2016,Not Rated,"Action,Biography,Drama,Back to top",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
19,20,Jersey,https://www.imdb.com//title/tt8948790/?ref_=fea_eds_center-3_IndiaTop250_19,8.5,2019,Not Rated,"Drama,Sport,Back to top",A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.
20,21,96,https://www.imdb.com//title/tt7019842/?ref_=fea_eds_center-3_IndiaTop250_20,8.5,2018,Not Rated,"Drama,Romance,Back to top",Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
21,22,Kaithi,https://www.imdb.com//title/tt9900782/?ref_=fea_eds_center-3_IndiaTop250_21,8.4,2019,Not Rated,"Action,Adventure,Crime,Back to top","Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
22,23,Natsamrat,https://www.imdb.com//title/tt5311546/?ref_=fea_eds_center-3_IndiaTop250_22,8.8,2016,2h 46m,"Drama,Family,Back to top","After he retires, an aging theatre actor and his wife begin to feel unwanted by their children."
23,24,Mayabazar,https://www.imdb.com//title/tt0249795/?ref_=fea_eds_center-3_IndiaTop250_23,9.1,1957,Not Rated,"Comedy,Drama,Back to top","Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise."
24,25,Sita Ramam,https://www.imdb.com//title/tt20850406/?ref_=fea_eds_center-3_IndiaTop250_24,8.6,2022,2h 43m,"Action,Drama,Mystery,Back to top","An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After ... Read all"
25,26,Drishyam 2,https://www.imdb.com//title/tt12361178/?ref_=fea_eds_center-3_IndiaTop250_25,8.4,2021,2h 32m,"Crime,Drama,Thriller,Back to top",A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
26,27,Asuran,https://www.imdb.com//title/tt9477520/?ref_=fea_eds_center-3_IndiaTop250_26,8.4,2019,Not Rated,"Action,Drama,Back to top","The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story."
27,28,Thevar Magan,https://www.imdb.com//title/tt0105575/?ref_=fea_eds_center-3_IndiaTop250_27,8.7,1992,2h 25m,"Drama,Back to top",The urbane son of a village chieftain struggles between his personal aspirations and those of his family.
28,29,Visaaranai,https://www.imdb.com//title/tt4991384/?ref_=fea_eds_center-3_IndiaTop250_28,8.4,2015,Not Rated,"Crime,Drama,Thriller,Back to top",Four labourers are tortured by the police to confess to a theft they have not committed.
29,30,Sarpatta Parambarai,https://www.imdb.com//title/tt11580854/?ref_=fea_eds_center-3_IndiaTop250_29,8.5,2021,2h 53m,"Action,Drama,Sport,Back to top","When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mothe... Read all"
30,31,Thalapathi,https://www.imdb.com//title/tt0101649/?ref_=fea_eds_center-3_IndiaTop250_30,8.5,1991,Not Rated,"Action,Crime,Drama,Back to top",An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.
31,32,Nadodikkattu,https://www.imdb.com//title/tt0282778/?ref_=fea_eds_center-3_IndiaTop250_31,8.8,1987,2h 38m,"Comedy,Back to top","After losing their jobs in Kerala, Dasan and Vijayan decide to migrate to the Middle East. But they end up in Tamil Nadu where they are mistaken as two CID officers by a group of smugglers."
32,33,Drishyam,https://www.imdb.com//title/tt3417422/?ref_=fea_eds_center-3_IndiaTop250_32,8.3,2013,Not Rated,"Crime,Drama,Thriller,Back to top",A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
33,34,Thani Oruvan,https://www.imdb.com//title/tt4987556/?ref_=fea_eds_center-3_IndiaTop250_33,8.4,2015,Not Rated,"Action,Crime,Thriller,Back to top","Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him."
34,35,Pather Panchali,https://www.imdb.com//title/tt0048473/?ref_=fea_eds_center-3_IndiaTop250_34,8.2,1955,Not Rated,"Drama,Back to top","Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
35,36,Jaane Bhi Do Yaaro,https://www.imdb.com//title/tt0085743/?ref_=fea_eds_center-3_IndiaTop250_35,8.3,1983,Not Rated,"Comedy,Crime,Drama,Back to top","Two friends, attempting to start-up their own photo studio, come across shady dealings, corruption and murder, and must fight to bring the guilty to light."
36,37,Vada Chennai,https://www.imdb.com//title/tt5959980/?ref_=fea_eds_center-3_IndiaTop250_36,8.4,2018,Not Rated,"Action,Crime,Drama,Back to top",A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.
37,38,Aparajito,https://www.imdb.com//title/tt0048956/?ref_=fea_eds_center-3_IndiaTop250_37,8.3,1956,Not Rated,"Drama,Back to top","Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone."
38,39,Khosla Ka Ghosla!,https://www.imdb.com//title/tt0466460/?ref_=fea_eds_center-3_IndiaTop250_38,8.3,2006,Not Rated,"Comedy,Crime,Drama,Back to top",A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.
39,40,Anniyan,https://www.imdb.com//title/tt0376127/?ref_=fea_eds_center-3_IndiaTop250_39,8.3,2005,Not Rated,"Action,Crime,Drama,Back to top","Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial el... Read all"
40,41,Sardar Udham,https://www.imdb.com//title/tt10280296/?ref_=fea_eds_center-3_IndiaTop250_40,8.4,2021,TV-MA,"Biography,Crime,Drama,Back to top","A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
41,42,Raatchasan,https://www.imdb.com//title/tt7060344/?ref_=fea_eds_center-3_IndiaTop250_41,8.3,2018,Not Rated,"Action,Crime,Drama,Back to top",A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
42,43,Gangs of Wasseypur,https://www.imdb.com//title/tt1954470/?ref_=fea_eds_center-3_IndiaTop250_42,8.2,2012,Not Rated,"Action,Comedy,Crime,Back to top","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
43,44,Chupke Chupke,https://www.imdb.com//title/tt0072783/?ref_=fea_eds_center-3_IndiaTop250_43,8.3,1975,Not Rated,"Comedy,Drama,Romance,Back to top",A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.
44,45,Drishyam,https://www.imdb.com//title/tt4430212/?ref_=fea_eds_center-3_IndiaTop250_44,8.2,2015,Not Rated,"Crime,Drama,Mystery,Back to top","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
45,46,Peranbu,https://www.imdb.com//title/tt7738784/?ref_=fea_eds_center-3_IndiaTop250_45,8.7,2018,2h 27m,"Drama,Back to top","A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality."
46,47,Bangalore Days,https://www.imdb.com//title/tt3668162/?ref_=fea_eds_center-3_IndiaTop250_46,8.3,2014,Not Rated,"Comedy,Drama,Romance,Back to top","A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover and explore."
47,48,Satya,https://www.imdb.com//title/tt0195231/?ref_=fea_eds_center-3_IndiaTop250_47,8.3,1998,Not Rated,"Action,Crime,Drama,Back to top",An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.
48,49,Mahanati,https://www.imdb.com//title/tt7465992/?ref_=fea_eds_center-3_IndiaTop250_48,8.4,2018,Not Rated,"Biography,Drama,Back to top","Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s."
49,50,Agent Sai Srinivasa Athreya,https://www.imdb.com//title/tt10214826/?ref_=fea_eds_center-3_IndiaTop250_49,8.3,2019,Not Rated,"Comedy,Crime,Mystery,Back to top",Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.
50,51,Premam,https://www.imdb.com//title/tt4679210/?ref_=fea_eds_center-3_IndiaTop250_50,8.3,2015,2h 36m,"Comedy,Drama,Romance,Back to top",A young man has three opportunities to find love. Will the third time be the charm?
51,52,Devasuram,https://www.imdb.com//title/tt0291855/?ref_=fea_eds_center-3_IndiaTop250_51,8.7,1993,Not Rated,"Action,Drama,Thriller,Back to top","Neelakandan squanders away the inheritance left by his father. However, his life turns upside down when his mother reveals a terrible secret on her deathbed that changes the course of his li... Read all"
52,53,Super Deluxe,https://www.imdb.com//title/tt7019942/?ref_=fea_eds_center-3_IndiaTop250_52,8.3,2019,Not Rated,"Comedy,Crime,Drama,Back to top","An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one... Read all"
53,54,Bhaag Milkha Bhaag,https://www.imdb.com//title/tt2356180/?ref_=fea_eds_center-3_IndiaTop250_53,8.2,2013,Not Rated,"Biography,Drama,Sport,Back to top","The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
54,55,Tumbbad,https://www.imdb.com//title/tt8239946/?ref_=fea_eds_center-3_IndiaTop250_54,8.2,2018,Not Rated,"Drama,Fantasy,Horror,Back to top",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
55,56,Andhadhun,https://www.imdb.com//title/tt8108198/?ref_=fea_eds_center-3_IndiaTop250_55,8.2,2018,Not Rated,"Crime,Mystery,Thriller,Back to top","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
56,57,Vikram Vedha,https://www.imdb.com//title/tt6148156/?ref_=fea_eds_center-3_IndiaTop250_56,8.2,2017,Not Rated,"Action,Crime,Drama,Back to top","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a con... Read all"
57,58,Chhichhore,https://www.imdb.com//title/tt9052870/?ref_=fea_eds_center-3_IndiaTop250_57,8.3,2019,Not Rated,"Comedy,Drama,Romance,Back to top","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
58,59,Chithram,https://www.imdb.com//title/tt0214585/?ref_=fea_eds_center-3_IndiaTop250_58,8.7,1988,2h 39m,"Comedy,Drama,Musical,Back to top",A woman hires a stranger to pose as her husband because she doesn't want her ailing father to know that her fiance broke their engagement.
59,60,Zindagi Na Milegi Dobara,https://www.imdb.com//title/tt1562872/?ref_=fea_eds_center-3_IndiaTop250_59,8.2,2011,Not Rated,"Comedy,Drama,Musical,Back to top",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
60,61,Vikram,https://www.imdb.com//title/tt9179430/?ref_=fea_eds_center-3_IndiaTop250_60,8.3,2022,2h 55m,"Action,Crime,Thriller,Back to top","A special investigator assigned a case of serial killings discovers the case is not what it seems to be, and leading down this path is only going to end in a war between everyone involved."
61,62,Guide,https://www.imdb.com//title/tt0059246/?ref_=fea_eds_center-3_IndiaTop250_61,8.4,1965,Not Rated,"Drama,Musical,Romance,Back to top","When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers."
62,63,Sairat,https://www.imdb.com//title/tt5312232/?ref_=fea_eds_center-3_IndiaTop250_62,8.3,2016,Not Rated,"Drama,Romance,Back to top","In interior Maharashtra, a fisherman's son and a local politician's daughter fall in love against the restrictions of caste hierarchy."
63,64,Kannathil Muthamittal,https://www.imdb.com//title/tt0312859/?ref_=fea_eds_center-3_IndiaTop250_63,8.4,2002,Not Rated,"Action,Drama,War,Back to top","A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists."
64,65,Shahid,https://www.imdb.com//title/tt2181831/?ref_=fea_eds_center-3_IndiaTop250_64,8.2,2012,Not Rated,"Biography,Drama,Back to top","The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice."
65,66,Swades,https://www.imdb.com//title/tt0367110/?ref_=fea_eds_center-3_IndiaTop250_65,8.2,2004,Not Rated,"Drama,Musical,Back to top",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
66,67,Iruvar,https://www.imdb.com//title/tt0119385/?ref_=fea_eds_center-3_IndiaTop250_66,8.4,1997,2h 20m,"Biography,Drama,Back to top",A struggling actor and a writer-politician become friends as young men and rise to great heights in cinema and politics respectively. But when both become contenders for the top political po... Read all
67,68,Munna Bhai M.B.B.S.,https://www.imdb.com//title/tt0374887/?ref_=fea_eds_center-3_IndiaTop250_67,8.1,2003,Not Rated,"Comedy,Drama,Back to top",A gangster sets out to fulfill his father's dream of becoming a doctor.
68,69,Aruvi,https://www.imdb.com//title/tt5867800/?ref_=fea_eds_center-3_IndiaTop250_68,8.4,2016,Not Rated,"Drama,Back to top",A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she d... Read all
69,70,Paan Singh Tomar,https://www.imdb.com//title/tt1620933/?ref_=fea_eds_center-3_IndiaTop250_69,8.2,2012,Not Rated,"Action,Biography,Crime,Back to top","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
70,71,Hera Pheri,https://www.imdb.com//title/tt0242519/?ref_=fea_eds_center-3_IndiaTop250_70,8.1,2000,Not Rated,"Action,Comedy,Crime,Back to top","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
71,72,Spadikam,https://www.imdb.com//title/tt0292246/?ref_=fea_eds_center-3_IndiaTop250_71,8.6,1995,Not Rated,"Action,Drama,Back to top",A small-town criminal constantly clashes with his strict school headmaster father at the expense of their family lives.
72,73,Uri: The Surgical Strike,https://www.imdb.com//title/tt8291224/?ref_=fea_eds_center-3_IndiaTop250_72,8.2,2019,Not Rated,"Action,Drama,History,Back to top","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
73,74,Let's Go! India,https://www.imdb.com//title/tt0871510/?ref_=fea_eds_center-3_IndiaTop250_73,8.1,2007,Not Rated,"Drama,Family,Sport,Back to top","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
74,75,Thirst,https://www.imdb.com//title/tt0050870/?ref_=fea_eds_center-3_IndiaTop250_74,8.3,1957,Not Rated,"Drama,Musical,Romance,Back to top",A talented but indigent poet Vijay struggles for love and recognition in this selfish world.
75,76,Mudhalvan,https://www.imdb.com//title/tt0220656/?ref_=fea_eds_center-3_IndiaTop250_75,8.4,1999,Not Rated,"Action,Drama,Thriller,Back to top","A man accepts a challenge to act as the Chief Minister of Tamil Nadu for one day only, and makes such a success of it that soon he is embroiled in political intrigue."
76,77,Papanasam,https://www.imdb.com//title/tt4429128/?ref_=fea_eds_center-3_IndiaTop250_76,8.4,2015,Not Rated,"Crime,Drama,Thriller,Back to top",Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime.
77,78,Black,https://www.imdb.com//title/tt0375611/?ref_=fea_eds_center-3_IndiaTop250_77,8.1,2005,Not Rated,"Drama,Back to top","The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
78,79,Jo Jeeta Wohi Sikandar,https://www.imdb.com//title/tt0104561/?ref_=fea_eds_center-3_IndiaTop250_78,8.2,1992,Not Rated,"Comedy,Drama,Romance,Back to top","A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race."
79,80,Pudhu Pettai,https://www.imdb.com//title/tt0459516/?ref_=fea_eds_center-3_IndiaTop250_79,8.5,2006,Not Rated,"Action,Crime,Drama,Back to top","After running away from his home, Kumar falls in with a gang and slowly rises through the ranks of the criminal underworld."
80,81,Mandela,https://www.imdb.com//title/tt10687070/?ref_=fea_eds_center-3_IndiaTop250_80,8.4,2021,2h 20m,"Comedy,Drama,Back to top",A local barber's fate turns overnight when he becomes the single deciding vote in the village elections.
81,82,Lagaan: Once Upon a Time in India,https://www.imdb.com//title/tt0169102/?ref_=fea_eds_center-3_IndiaTop250_81,8.1,2001,PG,"Drama,Musical,Sport,Back to top",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
82,83,PK,https://www.imdb.com//title/tt2338151/?ref_=fea_eds_center-3_IndiaTop250_82,8.1,2014,Not Rated,"Comedy,Drama,Sci-Fi,Back to top",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious... Read all
83,84,Dhuruvangal Pathinaaru,https://www.imdb.com//title/tt6380520/?ref_=fea_eds_center-3_IndiaTop250_83,8.2,2016,Not Rated,"Crime,Drama,Mystery,Back to top","A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son."
84,85,Sholay,https://www.imdb.com//title/tt0073707/?ref_=fea_eds_center-3_IndiaTop250_84,8.1,1975,Not Rated,"Action,Adventure,Comedy,Back to top","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
85,86,Drishyam 2,https://www.imdb.com//title/tt15501640/?ref_=fea_eds_center-3_IndiaTop250_85,8.2,2022,Not Rated,"Crime,Drama,Mystery,Back to top",A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
86,87,Soodhu Kavvum,https://www.imdb.com//title/tt2877108/?ref_=fea_eds_center-3_IndiaTop250_86,8.3,2013,Not Rated,"Comedy,Crime,Thriller,Back to top","Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the... Read all"
87,88,Talvar,https://www.imdb.com//title/tt4934950/?ref_=fea_eds_center-3_IndiaTop250_87,8.1,2015,Not Rated,"Crime,Drama,Mystery,Back to top",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
88,89,Queen,https://www.imdb.com//title/tt3322420/?ref_=fea_eds_center-3_IndiaTop250_88,8.1,2013,Not Rated,"Adventure,Comedy,Drama,Back to top",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
89,90,Sarfarosh,https://www.imdb.com//title/tt0200087/?ref_=fea_eds_center-3_IndiaTop250_89,8.1,1999,Not Rated,"Action,Crime,Drama,Back to top","After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
90,91,Udaan,https://www.imdb.com//title/tt1639426/?ref_=fea_eds_center-3_IndiaTop250_90,8.1,2010,Not Rated,"Drama,Back to top","Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
91,92,Article 15,https://www.imdb.com//title/tt10324144/?ref_=fea_eds_center-3_IndiaTop250_91,8.1,2019,Not Rated,"Crime,Drama,Mystery,Back to top","In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
92,93,OMG: Oh My God!,https://www.imdb.com//title/tt2283748/?ref_=fea_eds_center-3_IndiaTop250_92,8.1,2012,Not Rated,"Comedy,Drama,Fantasy,Back to top",A shopkeeper takes God to court when his shop is destroyed by an earthquake.
93,94,Barfi!,https://www.imdb.com//title/tt2082197/?ref_=fea_eds_center-3_IndiaTop250_93,8.1,2012,Not Rated,"Comedy,Drama,Romance,Back to top",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
94,95,Jigarthanda,https://www.imdb.com//title/tt3569782/?ref_=fea_eds_center-3_IndiaTop250_94,8.2,2014,Not Rated,"Action,Comedy,Crime,Back to top",An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught ... Read all
95,96,Jana Gana Mana,https://www.imdb.com//title/tt13391710/?ref_=fea_eds_center-3_IndiaTop250_95,8.3,2022,Dijo Jose Antony,"Crime,Drama,Thriller,Back to top","As a college professor's brutal murder sparks student unrest, a cop launches an investigation while a lawyer seeks justice in the the courtroom."
96,97,Theeran Adhigaram Ondru,https://www.imdb.com//title/tt7060460/?ref_=fea_eds_center-3_IndiaTop250_96,8.2,2017,Not Rated,"Action,Crime,Thriller,Back to top","Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern."
97,98,The Legend of Bhagat Singh,https://www.imdb.com//title/tt0319736/?ref_=fea_eds_center-3_IndiaTop250_97,8.1,2002,Not Rated,"Action,Biography,Drama,Back to top",The story of a young revolutionary who raised an armed resistance against the British rule in India.
98,99,Rang De Basanti,https://www.imdb.com//title/tt0405508/?ref_=fea_eds_center-3_IndiaTop250_98,8.1,2006,Not Rated,"Comedy,Crime,Drama,Back to top","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of f... Read all"
99,100,Baahubali 2: The Conclusion,https://www.imdb.com//title/tt4849438/?ref_=fea_eds_center-3_IndiaTop250_99,8.2,2017,Not Rated,"Action,Drama,Back to top","Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne."
100,101,Ustad Hotel,https://www.imdb.com//title/tt2218988/?ref_=fea_eds_center-3_IndiaTop250_100,8.2,2012,2h 31m,"Comedy,Drama,Back to top","Faisi wants to go to UK to become a professional chef but circumstances force him to assist his grandfather in a small restaurant in Kozhikode city, changing his outlook on life forever."
101,102,Kaakkaa Muttai,https://www.imdb.com//title/tt3973410/?ref_=fea_eds_center-3_IndiaTop250_101,8.3,2014,1h 49m,"Comedy,Drama,Back to top",Two slum kids yearn to taste a pizza after being enticed by the pizza shop that has opened near their locality. What happens when they manage to find the money to buy one?
102,103,Angoor,https://www.imdb.com//title/tt0215517/?ref_=fea_eds_center-3_IndiaTop250_102,8.3,1982,Not Rated,"Comedy,Back to top","Based on Shakespeare's 'A Comedy of Errors', this is a story of identical twins (2 pairs) and mistaken identities."
103,104,Maheshinte Prathikaaram,https://www.imdb.com//title/tt4851630/?ref_=fea_eds_center-3_IndiaTop250_103,8.3,2016,Not Rated,"Comedy,Drama,Thriller,Back to top","Mahesh, a studio photographer and studio owner gets into a fight and loses. He ends up taking revenge which leads to certain realizations in his life."
